0:0:0:0:0:0:0:1 - - [25/Mar/2017:11:55:47 +0530] "GET /CollaborationBackEndJava/allevents HTTP/1.1" 200 357
0:0:0:0:0:0:0:1 - - [25/Mar/2017:11:55:47 +0530] "GET /CollaborationBackEndJava/allusers HTTP/1.1" 200 2111
0:0:0:0:0:0:0:1 - - [25/Mar/2017:11:55:48 +0530] "GET /CollaborationFrontEndJava/resources/js/bootstrap.min.js?_=1490423147031 HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [25/Mar/2017:11:56:13 +0530] "GET /CollaborationFrontEndJava/ HTTP/1.1" 200 8259
0:0:0:0:0:0:0:1 - - [25/Mar/2017:11:56:14 +0530] "GET /CollaborationFrontEndJava/resources/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 404 1134
0:0:0:0:0:0:0:1 - - [25/Mar/2017:11:56:14 +0530] "GET /CollaborationBackEndJava/alluserblog HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:11:56:14 +0530] "GET /CollaborationBackEndJava/allevents HTTP/1.1" 200 357
0:0:0:0:0:0:0:1 - - [25/Mar/2017:11:56:14 +0530] "GET /CollaborationBackEndJava/allbulletins HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [25/Mar/2017:11:56:14 +0530] "GET /CollaborationBackEndJava/alljobs HTTP/1.1" 200 886
0:0:0:0:0:0:0:1 - - [25/Mar/2017:11:56:14 +0530] "GET /CollaborationBackEndJava/allusers HTTP/1.1" 200 2111
0:0:0:0:0:0:0:1 - - [25/Mar/2017:11:56:14 +0530] "GET /CollaborationFrontEndJava/resources/js/bootstrap.min.js?_=1490423173988 HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [25/Mar/2017:11:57:46 +0530] "GET /CollaborationFrontEndJava/ HTTP/1.1" 200 8259
0:0:0:0:0:0:0:1 - - [25/Mar/2017:11:57:46 +0530] "GET /CollaborationFrontEndJava/resources/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:11:57:46 +0530] "GET /CollaborationFrontEndJava/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:11:57:46 +0530] "GET /CollaborationFrontEndJava/resources/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:11:57:46 +0530] "GET /CollaborationFrontEndJava/resources/assets/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:11:57:46 +0530] "GET /CollaborationFrontEndJava/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:11:57:46 +0530] "GET /CollaborationFrontEndJava/resources/js/angular-route.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:11:57:46 +0530] "GET /CollaborationFrontEndJava/resources/js/angular.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:11:57:46 +0530] "GET /CollaborationFrontEndJava/resources/js/angular-cookies.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:11:57:46 +0530] "GET /CollaborationFrontEndJava/resources/assets/js/jQuery.headroom.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:11:57:46 +0530] "GET /CollaborationFrontEndJava/resources/assets/js/template.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:11:57:46 +0530] "GET /CollaborationFrontEndJava/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:11:57:46 +0530] "GET /CollaborationFrontEndJava/v_home/HomeController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:11:57:46 +0530] "GET /CollaborationFrontEndJava/resources/assets/js/headroom.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:11:57:46 +0530] "GET /CollaborationFrontEndJava/v_usertype/UserTypeController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:11:57:46 +0530] "GET /CollaborationFrontEndJava/v_usertype/UserTypeService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:11:57:46 +0530] "GET /CollaborationFrontEndJava/resources/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:11:57:46 +0530] "GET /CollaborationFrontEndJava/v_userrole/UserRoleService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:11:57:46 +0530] "GET /CollaborationFrontEndJava/v_userrole/UserRoleController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:11:57:46 +0530] "GET /CollaborationFrontEndJava/v_user/UserProfileController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:11:57:46 +0530] "GET /CollaborationFrontEndJava/v_user/UserProfileService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:11:57:46 +0530] "GET /CollaborationFrontEndJava/v_job/JobService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:11:57:46 +0530] "GET /CollaborationFrontEndJava/v_job/JobController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:11:57:46 +0530] "GET /CollaborationFrontEndJava/v_event/EventService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:11:57:46 +0530] "GET /CollaborationFrontEndJava/v_event/EventController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:11:57:46 +0530] "GET /CollaborationFrontEndJava/v_blog/BlogController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:11:57:46 +0530] "GET /CollaborationFrontEndJava/v_blog/BlogService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:11:57:46 +0530] "GET /CollaborationFrontEndJava/v_bulletin/BulletinService.js HTTP/1.1" 304 -
